cpu,real,situation
0.065,28.752,q1-no-optimization-case:c
0.063,28.733,q1-no-optimization-case:c
0.065,28.817,q1-no-optimization-case:c
0.063,29.263,q1-no-optimization-case:c
0.064,28.687,q1-no-optimization-case:c
0.064,28.71,q1-no-optimization-case:c
0.063,28.709,q1-no-optimization-case:c
0.065,28.772,q1-no-optimization-case:c
0.063,28.757,q1-no-optimization-case:c
0.063,28.948,q1-no-optimization-case:c
0.063,28.691,q1-no-optimization-case:c
0.065,28.719,q1-no-optimization-case:c
0.063,28.701,q1-no-optimization-case:c
0.064,28.784,q1-no-optimization-case:c
0.063,28.778,q1-no-optimization-case:c
0.066,28.582,q1-no-optimization-case:c
0.063,28.746,q1-no-optimization-case:c
0.064,28.794,q1-no-optimization-case:c
0.064,28.713,q1-no-optimization-case:c
0.065,28.695,q1-no-optimization-case:c
0.064,28.753,q1-no-optimization-case:c
0.064,29.348,q1-no-optimization-case:c
0.064,28.693,q1-no-optimization-case:c
0.064,28.663,q1-no-optimization-case:c
0.064,28.796,q1-no-optimization-case:c
0.064,28.751,q1-no-optimization-case:c
0.064,28.694,q1-no-optimization-case:c
0.065,28.687,q1-no-optimization-case:c
0.063,28.585,q1-no-optimization-case:c
0.064,28.678,q1-no-optimization-case:c
0.065,28.724,q1-no-optimization-case:c
0.063,28.761,q1-no-optimization-case:c
0.064,28.776,q1-no-optimization-case:c
0.063,28.8,q1-no-optimization-case:c
0.062,28.834,q1-no-optimization-case:c
0.063,28.853,q1-no-optimization-case:c
0.063,28.801,q1-no-optimization-case:c
0.063,29.36,q1-no-optimization-case:c
0.063,28.733,q1-no-optimization-case:c
0.063,28.727,q1-no-optimization-case:c
0.064,28.785,q1-no-optimization-case:c
0.063,28.757,q1-no-optimization-case:c
0.064,28.828,q1-no-optimization-case:c
0.064,28.766,q1-no-optimization-case:c
0.063,28.685,q1-no-optimization-case:c
0.065,28.76,q1-no-optimization-case:c
0.063,28.687,q1-no-optimization-case:c
0.064,28.759,q1-no-optimization-case:c
0.066,28.716,q1-no-optimization-case:c
0.063,28.751,q1-no-optimization-case:c
0.063,28.805,q1-no-optimization-case:c
0.064,28.749,q1-no-optimization-case:c
0.063,28.714,q1-no-optimization-case:c
0.064,28.799,q1-no-optimization-case:c
0.063,28.804,q1-no-optimization-case:c
0.064,28.801,q1-no-optimization-case:c
0.064,28.604,q1-no-optimization-case:c
0.063,28.664,q1-no-optimization-case:c
0.064,28.802,q1-no-optimization-case:c
0.063,28.81,q1-no-optimization-case:c
0.063,29.39,q1-no-optimization-case:c
0.063,28.78,q1-no-optimization-case:c
0.064,28.698,q1-no-optimization-case:c
0.063,28.72,q1-no-optimization-case:c
0.063,28.831,q1-no-optimization-case:c
0.063,28.785,q1-no-optimization-case:c
0.035,10.009,q3-no-optimization-case:a
0.034,1.916,q3-no-optimization-case:a
0.034,1.763,q3-no-optimization-case:a
0.035,1.762,q3-no-optimization-case:a
0.034,1.766,q3-no-optimization-case:a
0.035,1.765,q3-no-optimization-case:a
0.036,1.764,q3-no-optimization-case:a
0.035,1.765,q3-no-optimization-case:a
0.035,1.761,q3-no-optimization-case:a
0.034,1.763,q3-no-optimization-case:a
0.034,1.766,q3-no-optimization-case:a
0.034,1.762,q3-no-optimization-case:a
0.034,1.762,q3-no-optimization-case:a
0.037,1.763,q3-no-optimization-case:a
0.035,1.762,q3-no-optimization-case:a
0.035,1.762,q3-no-optimization-case:a
0.035,1.763,q3-no-optimization-case:a
0.035,1.762,q3-no-optimization-case:a
0.035,1.76,q3-no-optimization-case:a
0.035,1.767,q3-no-optimization-case:a
0.035,1.762,q3-no-optimization-case:a
0.035,1.762,q3-no-optimization-case:a
0.036,1.767,q3-no-optimization-case:a
0.035,1.761,q3-no-optimization-case:a
0.035,1.768,q3-no-optimization-case:a
0.035,1.803,q3-no-optimization-case:a
0.035,1.861,q3-no-optimization-case:a
0.035,1.866,q3-no-optimization-case:a
0.035,1.863,q3-no-optimization-case:a
0.034,1.863,q3-no-optimization-case:a
0.035,1.864,q3-no-optimization-case:a
0.035,1.866,q3-no-optimization-case:a
0.035,1.866,q3-no-optimization-case:a
0.035,1.86,q3-no-optimization-case:a
0.035,1.865,q3-no-optimization-case:a
0.035,1.862,q3-no-optimization-case:a
0.035,1.868,q3-no-optimization-case:a
0.035,1.866,q3-no-optimization-case:a
0.035,1.871,q3-no-optimization-case:a
0.035,1.865,q3-no-optimization-case:a
0.035,1.867,q3-no-optimization-case:a
0.035,1.865,q3-no-optimization-case:a
0.035,1.867,q3-no-optimization-case:a
0.035,1.869,q3-no-optimization-case:a
0.035,1.865,q3-no-optimization-case:a
0.036,1.87,q3-no-optimization-case:a
0.035,1.87,q3-no-optimization-case:a
0.035,1.87,q3-no-optimization-case:a
0.035,1.876,q3-no-optimization-case:a
0.036,1.869,q3-no-optimization-case:a
0.035,1.864,q3-no-optimization-case:a
0.035,1.872,q3-no-optimization-case:a
0.036,1.87,q3-no-optimization-case:a
0.036,1.871,q3-no-optimization-case:a
0.034,1.87,q3-no-optimization-case:a
0.036,1.865,q3-no-optimization-case:a
0.035,1.87,q3-no-optimization-case:a
0.034,1.898,q3-no-optimization-case:a
0.035,1.868,q3-no-optimization-case:a
0.034,1.875,q3-no-optimization-case:a
0.035,1.867,q3-no-optimization-case:a
0.036,1.865,q3-no-optimization-case:a
0.035,1.868,q3-no-optimization-case:a
0.036,1.871,q3-no-optimization-case:a
0.034,1.871,q3-no-optimization-case:a
0.035,1.871,q3-no-optimization-case:a
0.035,1.872,q3-no-optimization-case:a
0.035,1.869,q3-no-optimization-case:a
0.035,1.864,q3-no-optimization-case:a
0.035,1.866,q3-no-optimization-case:a
0.036,1.869,q3-no-optimization-case:a
0.035,1.865,q3-no-optimization-case:a
0.035,1.865,q3-no-optimization-case:a
0.035,1.864,q3-no-optimization-case:a
0.035,1.865,q3-no-optimization-case:a
0.035,9.771,q3-no-optimization-case:b
0.035,1.866,q3-no-optimization-case:b
0.034,1.765,q3-no-optimization-case:b
0.035,1.768,q3-no-optimization-case:b
0.035,1.765,q3-no-optimization-case:b
0.036,1.767,q3-no-optimization-case:b
0.035,1.767,q3-no-optimization-case:b
0.036,1.767,q3-no-optimization-case:b
0.035,1.765,q3-no-optimization-case:b
0.035,1.765,q3-no-optimization-case:b
0.034,1.765,q3-no-optimization-case:b
0.034,1.767,q3-no-optimization-case:b
0.034,1.765,q3-no-optimization-case:b
0.035,1.766,q3-no-optimization-case:b
0.035,1.764,q3-no-optimization-case:b
0.035,1.762,q3-no-optimization-case:b
0.035,1.765,q3-no-optimization-case:b
0.035,1.768,q3-no-optimization-case:b
0.035,1.762,q3-no-optimization-case:b
0.035,1.764,q3-no-optimization-case:b
0.035,1.765,q3-no-optimization-case:b
0.035,1.765,q3-no-optimization-case:b
0.034,1.763,q3-no-optimization-case:b
0.035,1.762,q3-no-optimization-case:b
0.035,1.836,q3-no-optimization-case:b
0.035,1.865,q3-no-optimization-case:b
0.036,1.872,q3-no-optimization-case:b
0.035,1.874,q3-no-optimization-case:b
0.036,1.873,q3-no-optimization-case:b
0.035,1.872,q3-no-optimization-case:b
0.035,1.871,q3-no-optimization-case:b
0.036,1.87,q3-no-optimization-case:b
0.035,1.868,q3-no-optimization-case:b
0.035,1.868,q3-no-optimization-case:b
0.034,1.869,q3-no-optimization-case:b
0.035,1.873,q3-no-optimization-case:b
0.035,1.872,q3-no-optimization-case:b
0.035,1.869,q3-no-optimization-case:b
0.035,1.868,q3-no-optimization-case:b
0.035,1.874,q3-no-optimization-case:b
0.035,1.869,q3-no-optimization-case:b
0.035,1.87,q3-no-optimization-case:b
0.035,1.871,q3-no-optimization-case:b
0.034,1.874,q3-no-optimization-case:b
0.035,1.872,q3-no-optimization-case:b
0.035,1.87,q3-no-optimization-case:b
0.034,1.87,q3-no-optimization-case:b
0.034,1.87,q3-no-optimization-case:b
0.035,1.87,q3-no-optimization-case:b
0.036,1.87,q3-no-optimization-case:b
0.035,1.873,q3-no-optimization-case:b
0.035,1.871,q3-no-optimization-case:b
0.036,1.872,q3-no-optimization-case:b
0.035,1.871,q3-no-optimization-case:b
0.035,1.87,q3-no-optimization-case:b
0.035,1.872,q3-no-optimization-case:b
0.036,1.874,q3-no-optimization-case:b
0.036,1.875,q3-no-optimization-case:b
0.036,1.873,q3-no-optimization-case:b
0.035,1.871,q3-no-optimization-case:b
0.036,1.872,q3-no-optimization-case:b
0.035,1.879,q3-no-optimization-case:b
0.036,1.885,q3-no-optimization-case:b
0.036,1.874,q3-no-optimization-case:b
0.036,1.88,q3-no-optimization-case:b
0.036,1.875,q3-no-optimization-case:b
0.035,1.876,q3-no-optimization-case:b
0.035,1.875,q3-no-optimization-case:b
0.036,1.874,q3-no-optimization-case:b
0.035,1.91,q3-no-optimization-case:b
0.035,1.883,q3-no-optimization-case:b
0.036,1.885,q3-no-optimization-case:b
0.036,1.877,q3-no-optimization-case:b
0.035,1.878,q3-no-optimization-case:b
0.037,1.884,q3-no-optimization-case:b
0.035,9.751,q3-no-optimization-case:c
0.034,1.838,q3-no-optimization-case:c
0.034,1.76,q3-no-optimization-case:c
0.034,1.752,q3-no-optimization-case:c
0.035,1.753,q3-no-optimization-case:c
0.033,1.757,q3-no-optimization-case:c
0.035,1.752,q3-no-optimization-case:c
0.035,1.752,q3-no-optimization-case:c
0.035,1.753,q3-no-optimization-case:c
0.035,1.75,q3-no-optimization-case:c
0.035,1.752,q3-no-optimization-case:c
0.034,1.753,q3-no-optimization-case:c
0.035,1.751,q3-no-optimization-case:c
0.034,1.752,q3-no-optimization-case:c
0.034,1.751,q3-no-optimization-case:c
0.035,1.756,q3-no-optimization-case:c
0.035,1.753,q3-no-optimization-case:c
0.035,1.755,q3-no-optimization-case:c
0.035,1.751,q3-no-optimization-case:c
0.035,1.752,q3-no-optimization-case:c
0.035,1.751,q3-no-optimization-case:c
0.034,1.751,q3-no-optimization-case:c
0.035,1.751,q3-no-optimization-case:c
0.035,1.754,q3-no-optimization-case:c
0.035,1.771,q3-no-optimization-case:c
0.034,1.855,q3-no-optimization-case:c
0.035,1.855,q3-no-optimization-case:c
0.035,1.85,q3-no-optimization-case:c
0.036,1.854,q3-no-optimization-case:c
0.035,1.856,q3-no-optimization-case:c
0.035,1.856,q3-no-optimization-case:c
0.036,1.854,q3-no-optimization-case:c
0.035,1.85,q3-no-optimization-case:c
0.035,1.856,q3-no-optimization-case:c
0.035,1.853,q3-no-optimization-case:c
0.035,1.852,q3-no-optimization-case:c
0.035,1.854,q3-no-optimization-case:c
0.034,1.853,q3-no-optimization-case:c
0.035,1.852,q3-no-optimization-case:c
0.035,1.858,q3-no-optimization-case:c
0.035,1.856,q3-no-optimization-case:c
0.036,1.857,q3-no-optimization-case:c
0.035,1.855,q3-no-optimization-case:c
0.035,1.854,q3-no-optimization-case:c
0.036,1.854,q3-no-optimization-case:c
0.035,1.855,q3-no-optimization-case:c
0.036,1.856,q3-no-optimization-case:c
0.035,1.856,q3-no-optimization-case:c
0.035,1.853,q3-no-optimization-case:c
0.035,1.853,q3-no-optimization-case:c
0.035,1.857,q3-no-optimization-case:c
0.035,1.857,q3-no-optimization-case:c
0.035,1.856,q3-no-optimization-case:c
0.035,1.853,q3-no-optimization-case:c
0.035,1.854,q3-no-optimization-case:c
0.035,1.857,q3-no-optimization-case:c
0.034,1.86,q3-no-optimization-case:c
0.035,1.854,q3-no-optimization-case:c
0.035,1.855,q3-no-optimization-case:c
0.035,1.854,q3-no-optimization-case:c
0.035,1.855,q3-no-optimization-case:c
0.038,1.858,q3-no-optimization-case:c
0.035,1.855,q3-no-optimization-case:c
0.035,1.857,q3-no-optimization-case:c
0.035,1.855,q3-no-optimization-case:c
0.036,1.854,q3-no-optimization-case:c
0.035,1.853,q3-no-optimization-case:c
0.035,1.859,q3-no-optimization-case:c
0.035,1.854,q3-no-optimization-case:c
0.035,1.854,q3-no-optimization-case:c
0.034,1.853,q3-no-optimization-case:c
0.035,1.857,q3-no-optimization-case:c
0.034,1.856,q3-no-optimization-case:c
0.035,1.857,q3-no-optimization-case:c
0.035,1.858,q3-no-optimization-case:c
0.062,28.007,q1-indexes-foreign-case:a
0.062,3.633,q1-indexes-foreign-case:a
0.063,2.405,q1-indexes-foreign-case:a
0.062,2.393,q1-indexes-foreign-case:a
0.061,2.38,q1-indexes-foreign-case:a
0.061,2.379,q1-indexes-foreign-case:a
0.062,2.379,q1-indexes-foreign-case:a
0.062,2.394,q1-indexes-foreign-case:a
0.062,2.383,q1-indexes-foreign-case:a
0.062,2.402,q1-indexes-foreign-case:a
0.062,2.41,q1-indexes-foreign-case:a
0.061,2.376,q1-indexes-foreign-case:a
0.062,2.399,q1-indexes-foreign-case:a
0.063,2.384,q1-indexes-foreign-case:a
0.06,2.381,q1-indexes-foreign-case:a
0.063,2.382,q1-indexes-foreign-case:a
0.062,2.385,q1-indexes-foreign-case:a
0.063,2.377,q1-indexes-foreign-case:a
0.063,2.39,q1-indexes-foreign-case:a
0.062,2.399,q1-indexes-foreign-case:a
0.061,2.375,q1-indexes-foreign-case:a
0.062,2.393,q1-indexes-foreign-case:a
0.063,2.364,q1-indexes-foreign-case:a
0.062,2.381,q1-indexes-foreign-case:a
0.063,2.383,q1-indexes-foreign-case:a
0.064,2.374,q1-indexes-foreign-case:a
0.062,2.389,q1-indexes-foreign-case:a
0.063,2.4,q1-indexes-foreign-case:a
0.061,2.412,q1-indexes-foreign-case:a
0.063,2.423,q1-indexes-foreign-case:a
0.063,2.416,q1-indexes-foreign-case:a
0.062,2.42,q1-indexes-foreign-case:a
0.062,2.434,q1-indexes-foreign-case:a
0.061,2.408,q1-indexes-foreign-case:a
0.061,2.437,q1-indexes-foreign-case:a
0.061,2.447,q1-indexes-foreign-case:a
0.062,2.407,q1-indexes-foreign-case:a
0.06,2.397,q1-indexes-foreign-case:a
0.062,2.42,q1-indexes-foreign-case:a
0.062,2.436,q1-indexes-foreign-case:a
0.062,2.424,q1-indexes-foreign-case:a
0.061,2.419,q1-indexes-foreign-case:a
0.062,2.404,q1-indexes-foreign-case:a
0.061,2.429,q1-indexes-foreign-case:a
0.063,2.424,q1-indexes-foreign-case:a
0.061,2.42,q1-indexes-foreign-case:a
0.062,2.431,q1-indexes-foreign-case:a
0.061,2.412,q1-indexes-foreign-case:a
0.061,2.426,q1-indexes-foreign-case:a
0.061,2.42,q1-indexes-foreign-case:a
0.062,2.428,q1-indexes-foreign-case:a
0.062,2.423,q1-indexes-foreign-case:a
0.063,2.419,q1-indexes-foreign-case:a
0.062,2.436,q1-indexes-foreign-case:a
0.063,2.441,q1-indexes-foreign-case:a
0.063,2.414,q1-indexes-foreign-case:a
0.062,2.419,q1-indexes-foreign-case:a
0.063,2.428,q1-indexes-foreign-case:a
0.062,2.42,q1-indexes-foreign-case:a
0.062,2.447,q1-indexes-foreign-case:a
0.062,2.41,q1-indexes-foreign-case:a
0.062,2.422,q1-indexes-foreign-case:a
0.062,2.417,q1-indexes-foreign-case:a
0.061,2.432,q1-indexes-foreign-case:a
0.062,2.426,q1-indexes-foreign-case:a
