cpu,real,situation
0.064,2.397,q1-indexes-foreign-case:c
0.063,2.374,q1-indexes-foreign-case:c
0.063,2.414,q1-indexes-foreign-case:c
0.064,2.357,q1-indexes-foreign-case:c
0.064,2.399,q1-indexes-foreign-case:c
0.063,2.393,q1-indexes-foreign-case:c
0.064,2.407,q1-indexes-foreign-case:c
0.064,2.357,q1-indexes-foreign-case:c
0.063,2.4,q1-indexes-foreign-case:c
0.064,2.365,q1-indexes-foreign-case:c
0.063,2.396,q1-indexes-foreign-case:c
0.063,2.393,q1-indexes-foreign-case:c
0.063,2.391,q1-indexes-foreign-case:c
0.063,2.405,q1-indexes-foreign-case:c
0.063,2.395,q1-indexes-foreign-case:c
0.063,2.387,q1-indexes-foreign-case:c
0.063,2.394,q1-indexes-foreign-case:c
0.063,2.381,q1-indexes-foreign-case:c
0.063,2.4,q1-indexes-foreign-case:c
0.064,2.381,q1-indexes-foreign-case:c
0.064,2.395,q1-indexes-foreign-case:c
0.063,2.378,q1-indexes-foreign-case:c
0.063,2.397,q1-indexes-foreign-case:c
0.063,2.411,q1-indexes-foreign-case:c
0.064,2.412,q1-indexes-foreign-case:c
0.063,2.391,q1-indexes-foreign-case:c
0.064,2.397,q1-indexes-foreign-case:c
0.064,2.396,q1-indexes-foreign-case:c
0.063,2.394,q1-indexes-foreign-case:c
0.046,1.349,q3-indexes-foreign-case:a
0.046,0.164,q3-indexes-foreign-case:a
0.045,0.163,q3-indexes-foreign-case:a
0.046,0.164,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.164,q3-indexes-foreign-case:a
0.046,0.164,q3-indexes-foreign-case:a
0.046,0.164,q3-indexes-foreign-case:a
0.045,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.045,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.164,q3-indexes-foreign-case:a
0.046,0.164,q3-indexes-foreign-case:a
0.045,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.164,q3-indexes-foreign-case:a
0.046,0.164,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.164,q3-indexes-foreign-case:a
0.046,0.164,q3-indexes-foreign-case:a
0.046,0.164,q3-indexes-foreign-case:a
0.047,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.045,0.162,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.164,q3-indexes-foreign-case:a
0.047,0.164,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.164,q3-indexes-foreign-case:a
0.046,0.164,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.045,0.162,q3-indexes-foreign-case:a
0.045,0.162,q3-indexes-foreign-case:a
0.046,0.162,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.047,0.163,q3-indexes-foreign-case:a
0.045,0.163,q3-indexes-foreign-case:a
0.045,0.162,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.047,0.163,q3-indexes-foreign-case:a
0.046,0.162,q3-indexes-foreign-case:a
0.045,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.047,0.163,q3-indexes-foreign-case:a
0.046,0.162,q3-indexes-foreign-case:a
0.046,0.162,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.047,0.163,q3-indexes-foreign-case:a
0.046,0.162,q3-indexes-foreign-case:a
0.046,0.162,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.162,q3-indexes-foreign-case:a
0.046,0.163,q3-indexes-foreign-case:a
0.046,0.162,q3-indexes-foreign-case:a
0.047,0.163,q3-indexes-foreign-case:a
0.046,0.162,q3-indexes-foreign-case:a
0.046,0.162,q3-indexes-foreign-case:a
0.047,0.163,q3-indexes-foreign-case:a
0.045,1.005,q3-indexes-foreign-case:b
0.047,0.165,q3-indexes-foreign-case:b
0.046,0.164,q3-indexes-foreign-case:b
0.046,0.164,q3-indexes-foreign-case:b
0.046,0.164,q3-indexes-foreign-case:b
0.046,0.165,q3-indexes-foreign-case:b
0.046,0.165,q3-indexes-foreign-case:b
0.046,0.163,q3-indexes-foreign-case:b
0.046,0.163,q3-indexes-foreign-case:b
0.046,0.164,q3-indexes-foreign-case:b
0.045,0.163,q3-indexes-foreign-case:b
0.046,0.164,q3-indexes-foreign-case:b
0.046,0.163,q3-indexes-foreign-case:b
0.046,0.164,q3-indexes-foreign-case:b
0.046,0.164,q3-indexes-foreign-case:b
0.046,0.164,q3-indexes-foreign-case:b
0.047,0.165,q3-indexes-foreign-case:b
0.046,0.164,q3-indexes-foreign-case:b
0.046,0.164,q3-indexes-foreign-case:b
0.046,0.164,q3-indexes-foreign-case:b
0.046,0.164,q3-indexes-foreign-case:b
0.046,0.164,q3-indexes-foreign-case:b
0.045,0.163,q3-indexes-foreign-case:b
0.045,0.163,q3-indexes-foreign-case:b
0.045,0.163,q3-indexes-foreign-case:b
0.045,0.163,q3-indexes-foreign-case:b
0.046,0.165,q3-indexes-foreign-case:b
0.046,0.163,q3-indexes-foreign-case:b
0.046,0.163,q3-indexes-foreign-case:b
0.046,0.163,q3-indexes-foreign-case:b
0.047,0.164,q3-indexes-foreign-case:b
0.047,0.164,q3-indexes-foreign-case:b
0.046,0.164,q3-indexes-foreign-case:b
0.046,0.163,q3-indexes-foreign-case:b
0.046,0.163,q3-indexes-foreign-case:b
0.045,0.162,q3-indexes-foreign-case:b
0.047,0.164,q3-indexes-foreign-case:b
0.046,0.163,q3-indexes-foreign-case:b
0.046,0.163,q3-indexes-foreign-case:b
0.046,0.164,q3-indexes-foreign-case:b
0.046,0.165,q3-indexes-foreign-case:b
0.045,0.163,q3-indexes-foreign-case:b
0.045,0.163,q3-indexes-foreign-case:b
0.045,0.163,q3-indexes-foreign-case:b
0.046,0.162,q3-indexes-foreign-case:b
0.045,0.163,q3-indexes-foreign-case:b
0.046,0.165,q3-indexes-foreign-case:b
0.045,0.163,q3-indexes-foreign-case:b
0.045,0.162,q3-indexes-foreign-case:b
0.045,0.163,q3-indexes-foreign-case:b
0.045,0.163,q3-indexes-foreign-case:b
0.045,0.162,q3-indexes-foreign-case:b
0.046,0.162,q3-indexes-foreign-case:b
0.046,0.163,q3-indexes-foreign-case:b
0.047,0.164,q3-indexes-foreign-case:b
0.047,0.163,q3-indexes-foreign-case:b
0.048,0.164,q3-indexes-foreign-case:b
0.046,0.163,q3-indexes-foreign-case:b
0.045,0.162,q3-indexes-foreign-case:b
0.046,0.162,q3-indexes-foreign-case:b
0.046,0.163,q3-indexes-foreign-case:b
0.046,0.162,q3-indexes-foreign-case:b
0.046,0.163,q3-indexes-foreign-case:b
0.046,0.163,q3-indexes-foreign-case:b
0.047,0.164,q3-indexes-foreign-case:b
0.046,0.162,q3-indexes-foreign-case:b
0.046,0.162,q3-indexes-foreign-case:b
0.047,0.163,q3-indexes-foreign-case:b
0.046,0.163,q3-indexes-foreign-case:b
0.046,0.163,q3-indexes-foreign-case:b
0.045,0.162,q3-indexes-foreign-case:b
0.046,0.162,q3-indexes-foreign-case:b
0.045,0.162,q3-indexes-foreign-case:b
0.046,0.162,q3-indexes-foreign-case:b
0.046,0.163,q3-indexes-foreign-case:b
0.046,1.008,q3-indexes-foreign-case:c
0.046,0.165,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.046,0.163,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.046,0.163,q3-indexes-foreign-case:c
0.046,0.165,q3-indexes-foreign-case:c
0.045,0.163,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.047,0.165,q3-indexes-foreign-case:c
0.045,0.163,q3-indexes-foreign-case:c
0.046,0.163,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.047,0.165,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.045,0.163,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.046,0.163,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.047,0.164,q3-indexes-foreign-case:c
0.047,0.164,q3-indexes-foreign-case:c
0.045,0.163,q3-indexes-foreign-case:c
0.045,0.162,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.046,0.163,q3-indexes-foreign-case:c
0.047,0.164,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.046,0.163,q3-indexes-foreign-case:c
0.047,0.164,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.047,0.164,q3-indexes-foreign-case:c
0.046,0.163,q3-indexes-foreign-case:c
0.047,0.164,q3-indexes-foreign-case:c
0.048,0.165,q3-indexes-foreign-case:c
0.047,0.164,q3-indexes-foreign-case:c
0.045,0.162,q3-indexes-foreign-case:c
0.046,0.163,q3-indexes-foreign-case:c
0.045,0.165,q3-indexes-foreign-case:c
0.046,0.163,q3-indexes-foreign-case:c
0.047,0.164,q3-indexes-foreign-case:c
0.045,0.163,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.045,0.162,q3-indexes-foreign-case:c
0.045,0.164,q3-indexes-foreign-case:c
0.047,0.164,q3-indexes-foreign-case:c
0.046,0.162,q3-indexes-foreign-case:c
0.045,0.163,q3-indexes-foreign-case:c
0.046,0.163,q3-indexes-foreign-case:c
0.046,0.163,q3-indexes-foreign-case:c
0.046,0.163,q3-indexes-foreign-case:c
0.046,0.162,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.046,0.163,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.046,0.163,q3-indexes-foreign-case:c
0.046,0.162,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.047,0.164,q3-indexes-foreign-case:c
0.046,0.164,q3-indexes-foreign-case:c
0.046,0.162,q3-indexes-foreign-case:c
0.046,0.162,q3-indexes-foreign-case:c
0.047,0.162,q3-indexes-foreign-case:c
0.046,0.162,q3-indexes-foreign-case:c
0.046,41.663,q1-indexes-other-case:a
0.047,8.75,q1-indexes-other-case:a
0.048,2.958,q1-indexes-other-case:a
0.047,2.324,q1-indexes-other-case:a
0.047,2.504,q1-indexes-other-case:a
0.047,2.299,q1-indexes-other-case:a
0.047,2.281,q1-indexes-other-case:a
0.047,2.293,q1-indexes-other-case:a
0.048,2.317,q1-indexes-other-case:a
0.048,2.297,q1-indexes-other-case:a
0.048,2.289,q1-indexes-other-case:a
0.049,2.294,q1-indexes-other-case:a
0.048,2.281,q1-indexes-other-case:a
0.048,2.285,q1-indexes-other-case:a
0.048,2.295,q1-indexes-other-case:a
0.048,2.287,q1-indexes-other-case:a
0.049,2.299,q1-indexes-other-case:a
0.047,2.286,q1-indexes-other-case:a
0.047,2.295,q1-indexes-other-case:a
0.048,2.279,q1-indexes-other-case:a
0.048,2.285,q1-indexes-other-case:a
0.047,2.3,q1-indexes-other-case:a
0.047,2.29,q1-indexes-other-case:a
0.047,2.295,q1-indexes-other-case:a
0.048,2.285,q1-indexes-other-case:a
0.049,2.292,q1-indexes-other-case:a
0.046,2.281,q1-indexes-other-case:a
0.047,2.284,q1-indexes-other-case:a
0.047,2.297,q1-indexes-other-case:a
0.047,2.267,q1-indexes-other-case:a
0.048,2.298,q1-indexes-other-case:a
0.047,2.299,q1-indexes-other-case:a
0.048,2.307,q1-indexes-other-case:a
0.047,2.323,q1-indexes-other-case:a
0.048,2.324,q1-indexes-other-case:a
0.048,2.327,q1-indexes-other-case:a
0.047,2.318,q1-indexes-other-case:a
0.048,2.305,q1-indexes-other-case:a
0.047,2.329,q1-indexes-other-case:a
0.047,2.302,q1-indexes-other-case:a
0.049,2.323,q1-indexes-other-case:a
0.048,2.326,q1-indexes-other-case:a
0.047,2.296,q1-indexes-other-case:a
0.048,2.327,q1-indexes-other-case:a
0.048,2.308,q1-indexes-other-case:a
0.047,2.335,q1-indexes-other-case:a
0.048,2.323,q1-indexes-other-case:a
0.048,2.311,q1-indexes-other-case:a
0.05,2.313,q1-indexes-other-case:a
0.05,2.322,q1-indexes-other-case:a
0.048,2.322,q1-indexes-other-case:a
0.049,2.324,q1-indexes-other-case:a
0.047,2.306,q1-indexes-other-case:a
0.048,2.321,q1-indexes-other-case:a
0.049,2.329,q1-indexes-other-case:a
0.047,2.325,q1-indexes-other-case:a
0.047,2.343,q1-indexes-other-case:a
0.047,2.313,q1-indexes-other-case:a
0.048,2.322,q1-indexes-other-case:a
0.05,2.317,q1-indexes-other-case:a
0.048,2.307,q1-indexes-other-case:a
0.048,2.321,q1-indexes-other-case:a
0.047,2.302,q1-indexes-other-case:a
0.048,2.324,q1-indexes-other-case:a
0.049,2.316,q1-indexes-other-case:a
0.048,2.32,q1-indexes-other-case:a
0.048,2.314,q1-indexes-other-case:a
0.048,2.329,q1-indexes-other-case:a
0.048,2.337,q1-indexes-other-case:a
0.048,2.305,q1-indexes-other-case:a
0.048,2.349,q1-indexes-other-case:a
0.048,2.315,q1-indexes-other-case:a
0.047,2.331,q1-indexes-other-case:a
0.049,2.323,q1-indexes-other-case:a
0.049,2.315,q1-indexes-other-case:a
0.046,40.777,q1-indexes-other-case:c
0.047,9.869,q1-indexes-other-case:c
0.048,3.017,q1-indexes-other-case:c
0.047,2.378,q1-indexes-other-case:c
0.048,2.26,q1-indexes-other-case:c
0.048,2.265,q1-indexes-other-case:c
0.048,2.271,q1-indexes-other-case:c
0.048,2.249,q1-indexes-other-case:c
0.048,2.261,q1-indexes-other-case:c
0.048,2.266,q1-indexes-other-case:c
0.048,2.262,q1-indexes-other-case:c
0.048,2.269,q1-indexes-other-case:c
0.048,2.261,q1-indexes-other-case:c
0.049,2.267,q1-indexes-other-case:c
0.048,2.251,q1-indexes-other-case:c
0.047,2.257,q1-indexes-other-case:c
0.048,2.251,q1-indexes-other-case:c
0.048,2.259,q1-indexes-other-case:c
0.049,2.282,q1-indexes-other-case:c
0.048,2.273,q1-indexes-other-case:c
0.048,2.248,q1-indexes-other-case:c
0.047,2.262,q1-indexes-other-case:c
0.047,2.249,q1-indexes-other-case:c
0.049,2.248,q1-indexes-other-case:c
0.047,2.254,q1-indexes-other-case:c
0.047,2.268,q1-indexes-other-case:c
0.047,2.246,q1-indexes-other-case:c
0.048,2.266,q1-indexes-other-case:c
0.048,2.264,q1-indexes-other-case:c
0.047,2.239,q1-indexes-other-case:c
0.049,2.273,q1-indexes-other-case:c
0.048,2.286,q1-indexes-other-case:c
0.048,2.289,q1-indexes-other-case:c
0.047,2.291,q1-indexes-other-case:c
0.047,2.311,q1-indexes-other-case:c
0.049,2.309,q1-indexes-other-case:c
0.047,2.29,q1-indexes-other-case:c
0.047,2.303,q1-indexes-other-case:c
0.047,2.295,q1-indexes-other-case:c
0.048,2.276,q1-indexes-other-case:c
0.047,2.306,q1-indexes-other-case:c
0.048,2.282,q1-indexes-other-case:c
0.048,2.309,q1-indexes-other-case:c
0.047,2.292,q1-indexes-other-case:c
0.048,2.301,q1-indexes-other-case:c
0.048,2.28,q1-indexes-other-case:c
0.049,2.29,q1-indexes-other-case:c
0.048,2.287,q1-indexes-other-case:c
0.048,2.286,q1-indexes-other-case:c
0.048,2.293,q1-indexes-other-case:c
0.048,2.3,q1-indexes-other-case:c
0.049,2.281,q1-indexes-other-case:c
0.047,2.277,q1-indexes-other-case:c
0.049,2.287,q1-indexes-other-case:c
0.046,2.287,q1-indexes-other-case:c
0.048,2.289,q1-indexes-other-case:c
0.048,2.295,q1-indexes-other-case:c
0.049,2.318,q1-indexes-other-case:c
0.048,2.285,q1-indexes-other-case:c
0.048,2.299,q1-indexes-other-case:c
0.047,2.279,q1-indexes-other-case:c
0.049,2.293,q1-indexes-other-case:c
0.049,2.296,q1-indexes-other-case:c
0.048,2.304,q1-indexes-other-case:c
0.048,2.286,q1-indexes-other-case:c
0.048,2.286,q1-indexes-other-case:c
0.048,2.295,q1-indexes-other-case:c
0.049,2.291,q1-indexes-other-case:c
0.048,2.265,q1-indexes-other-case:c
0.048,2.288,q1-indexes-other-case:c
0.048,2.292,q1-indexes-other-case:c
0.048,2.284,q1-indexes-other-case:c
0.048,2.3,q1-indexes-other-case:c
0.048,2.278,q1-indexes-other-case:c
0.047,2.293,q1-indexes-other-case:c
0.047,41.752,q1-indexes-other-case:b
0.048,10.717,q1-indexes-other-case:b
0.047,2.427,q1-indexes-other-case:b
0.047,2.289,q1-indexes-other-case:b
0.047,2.272,q1-indexes-other-case:b
0.047,2.393,q1-indexes-other-case:b
0.049,2.538,q1-indexes-other-case:b
0.047,2.302,q1-indexes-other-case:b
0.046,2.291,q1-indexes-other-case:b
0.047,2.275,q1-indexes-other-case:b
0.047,2.277,q1-indexes-other-case:b
0.047,2.293,q1-indexes-other-case:b
0.046,2.279,q1-indexes-other-case:b
0.049,2.292,q1-indexes-other-case:b
0.048,2.287,q1-indexes-other-case:b
0.048,2.295,q1-indexes-other-case:b
0.046,2.292,q1-indexes-other-case:b
0.047,2.292,q1-indexes-other-case:b
0.048,2.273,q1-indexes-other-case:b
0.048,2.293,q1-indexes-other-case:b
0.048,2.29,q1-indexes-other-case:b
0.048,2.294,q1-indexes-other-case:b
0.047,2.296,q1-indexes-other-case:b
0.047,2.273,q1-indexes-other-case:b
0.048,2.292,q1-indexes-other-case:b
0.047,2.288,q1-indexes-other-case:b
0.048,2.283,q1-indexes-other-case:b
0.049,2.288,q1-indexes-other-case:b
0.046,2.266,q1-indexes-other-case:b
0.047,2.294,q1-indexes-other-case:b
0.048,2.311,q1-indexes-other-case:b
0.047,2.312,q1-indexes-other-case:b
0.047,2.331,q1-indexes-other-case:b
0.048,2.327,q1-indexes-other-case:b
0.048,2.314,q1-indexes-other-case:b
0.047,2.318,q1-indexes-other-case:b
0.048,2.319,q1-indexes-other-case:b
0.047,2.316,q1-indexes-other-case:b
0.049,2.32,q1-indexes-other-case:b
0.047,2.319,q1-indexes-other-case:b
0.046,2.312,q1-indexes-other-case:b
0.047,2.331,q1-indexes-other-case:b
0.047,2.322,q1-indexes-other-case:b
0.047,2.321,q1-indexes-other-case:b
0.047,2.318,q1-indexes-other-case:b
0.047,2.324,q1-indexes-other-case:b
0.047,2.31,q1-indexes-other-case:b
0.046,2.318,q1-indexes-other-case:b
0.047,2.31,q1-indexes-other-case:b
0.048,2.329,q1-indexes-other-case:b
0.047,2.313,q1-indexes-other-case:b
0.046,2.307,q1-indexes-other-case:b
0.046,2.301,q1-indexes-other-case:b
0.048,2.312,q1-indexes-other-case:b
0.048,2.307,q1-indexes-other-case:b
0.046,2.299,q1-indexes-other-case:b
0.047,2.309,q1-indexes-other-case:b
0.047,2.325,q1-indexes-other-case:b
0.047,2.312,q1-indexes-other-case:b
0.047,2.308,q1-indexes-other-case:b
0.049,2.347,q1-indexes-other-case:b
0.048,2.318,q1-indexes-other-case:b
0.048,2.307,q1-indexes-other-case:b
0.047,2.3,q1-indexes-other-case:b
0.048,2.328,q1-indexes-other-case:b
0.049,2.312,q1-indexes-other-case:b
0.047,2.316,q1-indexes-other-case:b
0.048,2.313,q1-indexes-other-case:b
0.048,2.315,q1-indexes-other-case:b
0.047,2.3,q1-indexes-other-case:b
0.048,2.327,q1-indexes-other-case:b
0.047,2.305,q1-indexes-other-case:b
0.049,2.309,q1-indexes-other-case:b
0.046,2.299,q1-indexes-other-case:b
0.033,0.048,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.036,0.041,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.036,0.04,q3-indexes-other-case:a
0.033,0.039,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.033,0.039,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.036,0.041,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.034,0.04,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.034,0.04,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.034,0.04,q3-indexes-other-case:a
0.034,0.04,q3-indexes-other-case:a
0.034,0.04,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.034,0.04,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.034,0.04,q3-indexes-other-case:a
0.034,0.04,q3-indexes-other-case:a
0.034,0.04,q3-indexes-other-case:a
0.034,0.04,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.035,0.041,q3-indexes-other-case:a
0.034,0.04,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.034,0.04,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.034,0.04,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.034,0.04,q3-indexes-other-case:a
0.035,0.039,q3-indexes-other-case:a
0.035,0.04,q3-indexes-other-case:a
0.034,0.04,q3-indexes-other-case:a
0.034,0.04,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.035,0.039,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.034,0.038,q3-indexes-other-case:a
0.035,0.039,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.034,0.039,q3-indexes-other-case:a
0.033,0.039,q3-indexes-other-case:a
0.034,0.051,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.04,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.033,0.039,q3-indexes-other-case:b
0.034,0.04,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.04,q3-indexes-other-case:b
0.035,0.039,q3-indexes-other-case:b
0.034,0.04,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.04,q3-indexes-other-case:b
0.034,0.04,q3-indexes-other-case:b
0.034,0.04,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.04,q3-indexes-other-case:b
0.034,0.04,q3-indexes-other-case:b
0.034,0.04,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.034,0.04,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.04,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.035,0.041,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.034,0.04,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.033,0.039,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.04,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.034,0.04,q3-indexes-other-case:b
0.034,0.04,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.034,0.04,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.034,0.04,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.035,0.04,q3-indexes-other-case:b
0.034,0.039,q3-indexes-other-case:b
0.033,0.043,q3-indexes-other-case:c
0.034,0.04,q3-indexes-other-case:c
0.033,0.039,q3-indexes-other-case:c
0.033,0.039,q3-indexes-other-case:c
0.033,0.039,q3-indexes-other-case:c
0.033,0.039,q3-indexes-other-case:c
0.034,0.039,q3-indexes-other-case:c
0.034,0.039,q3-indexes-other-case:c
0.034,0.039,q3-indexes-other-case:c
0.034,0.039,q3-indexes-other-case:c
0.034,0.039,q3-indexes-other-case:c
0.034,0.039,q3-indexes-other-case:c
0.033,0.039,q3-indexes-other-case:c
0.034,0.04,q3-indexes-other-case:c
0.034,0.039,q3-indexes-other-case:c
